ds,y
2018/01/01,5
2018/01/02,5
2018/01/04,5
2018/01/06,10
2018/01/07,18
2018/01/08,5
2018/01/09,8
2018/01/11,5
2018/01/12,5
2018/01/13,5
2018/01/14,10
2018/01/15,10
2018/01/18,5
2018/01/20,8
2018/01/21,10
2018/01/22,8
2018/01/25,8
2018/01/26,5
2018/01/28,8
2018/01/30,5
2018/01/31,10
2018/02/02,10
2018/02/03,5
2018/02/04,5
2018/02/06,5
2018/02/10,8
2018/02/11,8
2018/02/12,8
2018/02/13,5
2018/02/14,10
2018/02/15,15
2018/02/16,8
2018/02/18,8
2018/02/19,5
2018/02/20,7
2018/02/21,5
2018/02/25,15
2018/02/26,8
2018/02/27,3
2018/03/01,8
2018/03/02,7
2018/03/03,12
2018/03/04,6
2018/03/05,8
2018/03/06,6
2018/03/09,2
2018/03/10,8
2018/03/11,14
2018/03/12,10
2018/03/14,6
2018/03/15,8
2018/03/16,12
2018/03/19,8
2018/03/20,8
2018/03/21,5
2018/03/22,6
2018/03/23,15
2018/03/25,16
2018/03/26,10
2018/03/27,3
2018/03/28,5
2018/03/30,10
2018/03/31,13
2018/04/01,8
2018/04/02,5
2018/04/05,5
2018/04/06,4
2018/04/07,8
2018/04/08,13
2018/04/13,4
2018/04/14,10
2018/04/15,10
2018/04/16,5
2018/04/19,8
2018/04/20,3
2018/04/21,10
2018/04/22,8
2018/04/23,5
2018/04/27,6
2018/04/28,10
2018/04/29,5
2018/04/30,8
2018/05/02,10
2018/05/03,5
2018/05/05,5
2018/05/06,7
2018/05/08,5
2018/05/10,5
2018/05/11,8
2018/05/12,12
2018/05/13,18
2018/05/14,6
2018/05/17,5
2018/05/18,6
2018/05/19,8
2018/05/20,5
2018/05/21,5
2018/05/23,4
2018/05/25,8
2018/05/26,2
2018/05/27,8
2018/05/29,17
2018/06/02,6
2018/06/03,8
2018/06/05,5
2018/06/08,5
2018/06/09,3
2018/06/10,10
2018/06/11,6
2018/06/12,5
2018/06/14,8
2018/06/15,8
2018/06/16,10
2018/06/17,8
2018/06/18,10
2018/06/20,8
2018/06/21,4
2018/06/22,5
2018/06/23,2
2018/06/24,8
2018/06/25,6
2018/06/27,8
2018/06/28,10
2018/06/29,8
2018/07/01,2
2018/07/02,8
2018/07/03,5
2018/07/04,3
2018/07/06,10
2018/07/08,2
2018/07/13,15
2018/07/14,15
2018/07/15,12
2018/07/20,10
2018/07/21,10
2018/07/23,4
2018/07/24,2
2018/07/25,5
2018/07/26,4
2018/07/27,10
2018/07/29,7
2018/07/30,9
2018/07/31,11
2018/08/01,4
2018/08/03,6
2018/08/05,12
2018/08/06,5
2018/08/08,8
2018/08/09,4
2018/08/10,3
2018/08/11,7
2018/08/12,10
2018/08/13,3
2018/08/16,5
2018/08/17,5
2018/08/18,7
2018/08/19,8
2018/08/20,3
2018/08/21,5
2018/08/22,11
2018/08/23,6
2018/08/24,2
2018/08/25,7
2018/08/26,7
2018/08/27,5
2018/08/29,5
2018/08/30,5
2018/08/31,6
2018/09/01,6
2018/09/02,6
2018/09/04,3
2018/09/05,5
2018/09/06,3
2018/09/07,6
2018/09/08,8
2018/09/09,8
2018/09/10,5
2018/09/11,5
2018/09/13,8
2018/09/14,5
2018/09/15,3
2018/09/16,8
2018/09/17,6
2018/09/19,6
2018/09/20,2
2018/09/22,8
2018/09/23,8
2018/09/24,6
2018/09/25,4
2018/09/28,5
2018/09/29,6
2018/09/30,8
2018/10/01,6
2018/10/03,4
2018/10/06,8
2018/10/07,5
2018/10/08,4
2018/10/09,4
2018/10/11,6
2018/10/12,5
2018/10/13,6
2018/10/14,6
2018/10/15,5
2018/10/17,5
2018/10/18,4
2018/10/20,6
2018/10/21,6
2018/10/22,3
2018/10/25,5
2018/10/26,8
2018/10/28,6
2018/10/30,5
2018/11/01,4
2018/11/02,8
2018/11/03,5
2018/11/04,10
2018/11/05,5
2018/11/07,6
2018/11/08,5
2018/11/10,10
2018/11/11,10
2018/11/12,5
2018/11/13,5
2018/11/14,6
2018/11/15,5
2018/11/16,8
2018/11/17,8
2018/11/18,10
2018/11/22,5
2018/11/23,6
2018/11/24,2
2018/11/25,5
2018/11/28,5
2018/12/02,7
2018/12/06,2
2018/12/07,6
2018/12/08,4
2018/12/09,8
2018/12/13,3
2018/12/15,6
2018/12/16,6
2018/12/17,5
2018/12/20,2
2018/12/21,6
2018/12/22,8
2018/12/24,4
2018/12/25,8
2018/12/28,5
2018/12/29,2
2018/12/31,8
2019/01/01,10
2019/01/02,6
2019/01/04,6
2019/01/06,2
2019/01/08,3
2019/01/10,2
2019/01/11,5
2019/01/12,3
2019/01/13,2
2019/01/14,3
2019/01/18,5
2019/01/19,3
2019/01/20,4
2019/01/25,5
2019/01/26,4
2019/01/28,6
2019/01/29,5
2019/01/31,10
2019/02/02,4
2019/02/03,6
2019/02/04,20
2019/02/10,5
2019/02/15,8
2019/02/16,5
2019/02/20,5
2019/02/22,2
2019/02/24,4
2019/02/28,3
2019/03/01,11
2019/03/02,6
2019/03/03,7
2019/03/04,5
2019/03/07,4
2019/03/08,6
2019/03/10,7
2019/03/11,2
2019/03/12,3
2019/03/13,3
2019/03/14,3
2019/03/15,8
2019/03/16,6
2019/03/17,6
