ds,y
2018/01/01,5
2018/01/06,5
2018/01/08,5
2018/01/12,5
2018/01/13,5
2018/01/14,10
2018/01/15,8
2018/01/19,8
2018/01/20,5
2018/01/21,8
2018/01/24,5
2018/01/25,5
2018/01/26,5
2018/01/28,5
2018/02/02,5
2018/02/03,5
2018/02/04,5
2018/02/06,3
2018/02/09,5
2018/02/10,5
2018/02/11,5
2018/02/15,10
2018/02/16,16
2018/02/22,6
2018/02/23,6
2018/02/25,4
2018/03/01,3
2018/03/02,2
2018/03/03,5
2018/03/04,10
2018/03/10,5
2018/03/14,6
2018/03/16,6
2018/03/18,5
2018/03/19,5
2018/03/22,8
2018/03/25,5
2018/03/26,5
2018/03/27,3
2018/03/30,5
2018/03/31,8
2018/04/02,10
2018/04/05,10
2018/04/08,5
2018/04/09,3
2018/04/15,8
2018/04/16,4
2018/04/17,1
2018/04/21,4
2018/04/22,4
2018/04/23,6
2018/04/24,3
2018/04/27,3
2018/04/28,6
2018/04/29,3
2018/04/30,9
2018/05/05,8
2018/05/06,5
2018/05/07,4
2018/05/12,5
2018/05/13,2
2018/05/18,6
2018/05/19,5
2018/05/20,3
2018/05/25,4
2018/05/26,5
2018/05/27,5
2018/05/28,2
2018/06/01,2
2018/06/02,3
2018/06/03,8
2018/06/06,4
2018/06/08,3
2018/06/09,3
2018/06/10,4
2018/06/11,5
2018/06/13,10
2018/06/14,5
2018/06/15,2
2018/06/16,5
2018/06/24,2
2018/06/29,4
2018/06/30,3
2018/07/01,4
2018/07/03,3
2018/07/06,6
2018/07/14,5
2018/07/16,3
2018/07/20,3
2018/07/21,4
2018/07/26,2
2018/07/27,12
2018/07/29,3
2018/08/03,5
2018/08/05,3
2018/08/09,6
2018/08/12,2
2018/08/17,5
2018/08/18,3
2018/08/19,2
2018/08/20,2
2018/08/22,2
2018/08/25,2
2018/08/26,5
2018/08/27,2
2018/08/30,3
2018/08/31,2
2018/09/01,2
2018/09/02,3
2018/09/04,2
2018/09/07,2
2018/09/08,2
2018/09/09,3
2018/09/14,5
2018/09/15,2
2018/09/16,3
2018/09/17,5
2018/09/21,2
2018/09/22,3
2018/09/23,3
2018/09/24,5
2018/09/25,2
2018/10/01,2
2018/10/05,5
2018/10/06,3
2018/10/07,4
2018/10/13,2
2018/10/14,6
2018/10/15,5
2018/10/18,3
2018/10/19,5
2018/10/20,3
2018/10/22,3
2018/10/26,3
2018/10/28,3
2018/10/29,2
2018/11/02,4
2018/11/03,2
2018/11/04,5
2018/11/07,5
2018/11/10,6
2018/11/11,5
2018/11/12,3
2018/11/15,3
2018/11/17,3
2018/11/18,8
2018/11/23,4
2018/11/25,4
2018/12/01,3
2018/12/03,3
2018/12/08,5
2018/12/09,5
2018/12/14,2
2018/12/16,5
2018/12/17,3
2018/12/21,5
2018/12/23,4
2018/12/24,4
2018/12/26,3
2018/12/27,1
2018/12/29,3
2018/12/30,5
2018/12/31,7
2019/01/01,3
2019/01/11,5
2019/01/14,4
2019/01/19,2
2019/01/25,3
2019/01/26,3
2019/01/30,4
2019/01/31,5
2019/02/03,6
2019/02/04,15
2019/02/09,2
2019/02/17,5
2019/02/22,2
2019/02/23,2
2019/02/25,3
2019/03/02,3
2019/03/03,3
2019/03/08,3
2019/03/09,3
2019/03/10,3
2019/03/16,4
2019/03/17,3
2019/03/18,4
2019/03/23,2
2019/03/24,5
2019/03/27,3
2019/03/30,3
2019/03/31,2
2019/04/03,3
2019/04/05,4
2019/04/06,2
2019/04/07,6
2019/04/11,3
2019/04/14,5
2019/04/17,2
2019/04/19,4
2019/04/20,5
2019/04/25,5
2019/04/26,3
2019/04/28,5
2019/04/30,5
2019/05/01,5
2019/05/04,4
2019/05/05,2
2019/05/08,3
2019/05/11,5
2019/05/12,6
2019/05/13,2
2019/05/14,3
2019/05/18,5
2019/05/20,5
2019/05/24,3
2019/05/25,4
2019/05/26,3
2019/05/31,1
2019/06/01,3
2019/06/02,4
2019/06/03,3
2019/06/06,2
2019/06/08,6
2019/06/09,3
2019/06/10,5
2019/06/14,4
2019/06/16,4
2019/06/22,4
2019/06/23,5
2019/06/29,6
2019/06/30,3
2019/07/05,3
2019/07/07,3
2019/07/08,5
2019/07/12,4
2019/07/13,3
2019/07/14,3
2019/07/16,3
2019/07/20,3
2019/07/21,8
2019/07/22,3
2019/07/26,3
2019/07/28,8
2019/07/29,5
2019/08/03,3
2019/08/04,8
2019/08/09,4
2019/08/10,5
2019/08/12,3
2019/08/16,6
2019/08/17,5
2019/08/18,4
2019/08/19,3
2019/08/24,5
2019/08/25,5
2019/08/29,4
2019/08/31,4
2019/09/02,4
2019/09/07,5
2019/09/08,4
2019/09/09,4
2019/09/11,4
2019/09/13,5
2019/09/14,5
2019/09/15,6
2019/09/16,4
2019/09/20,6
2019/09/21,4
2019/09/24,3
2019/09/27,5
2019/09/29,4
2019/09/30,4
2019/10/04,3
2019/10/05,6
2019/10/06,8
2019/10/11,5
2019/10/12,4
2019/10/13,5
2019/10/18,2
2019/10/19,6
2019/10/20,3
2019/10/21,3
2019/10/24,3
2019/10/26,5
2019/10/28,5
2019/11/03,5
2019/11/08,5
2019/11/09,3
2019/11/10,3
2019/11/13,3
2019/11/16,5
2019/11/18,3
2019/11/22,3
2019/11/23,3
2019/11/24,3
2019/11/25,3
2019/11/27,3
2019/11/28,3
2019/11/29,5
2019/11/30,3
2019/12/04,3
2019/12/06,2
2019/12/07,3
2019/12/11,3
2019/12/12,3
2019/12/13,2
2019/12/14,3
2019/12/16,3
2019/12/18,5
2019/12/19,3
2019/12/20,3
2019/12/22,2
2019/12/24,2
2019/12/25,3
2019/12/29,3
2020/01/01,5
2020/01/02,5
2020/01/05,3
2020/01/06,3
2020/01/11,5
2020/01/15,3
2020/01/17,3
2020/01/18,3
2020/01/19,3
2020/01/22,3
2020/01/24,10
2020/02/10,3
2020/02/12,2
2020/02/15,5
2020/02/22,5
2020/02/23,5
2020/02/29,3
2020/03/03,2
2020/03/05,3
2020/03/07,5
2020/03/08,3
2020/03/15,3
2020/03/16,3
2020/03/20,3
2020/03/21,3
2020/03/27,2
2020/03/28,5
2020/03/31,5
2020/06/19,3
2020/06/20,3
2020/06/21,3
2020/06/26,6
2020/06/27,5
2020/06/28,5
2020/06/30,3
2020/07/02,3
2020/07/04,5
2020/07/08,2
2020/07/11,5
2020/07/12,6
2020/07/15,2
2020/07/17,3
2020/07/18,3
2020/07/19,2
2020/07/24,3
2020/07/25,5
2020/07/29,3
2020/07/30,2
2020/07/31,5
2020/08/01,5
2020/08/02,3
2020/08/03,3
2020/08/04,2
2020/08/06,3
2020/08/08,5
2020/08/09,3
2020/08/15,6
2020/08/16,3
2020/08/21,3
2020/08/22,6
2020/08/26,3
2020/08/29,5
2020/09/03,2
2020/09/04,3
2020/09/05,5
2020/09/09,2
2020/09/11,3
2020/09/12,5
2020/09/13,2
2020/09/17,3
2020/09/19,3
2020/09/20,2
2020/09/25,5
2020/09/28,3
2020/10/02,5
2020/10/03,2
2020/10/04,5
2020/10/09,5
2020/10/10,5
2020/10/11,5
2020/10/17,5
2020/10/25,5
2020/10/31,5
2020/11/01,3
2020/11/05,3
2020/11/06,5
2020/11/11,5
2020/11/15,5
2020/11/16,3
2020/11/21,3
2020/11/22,5
2020/11/27,3
2020/11/28,6
