ds,y
2018/04/15,5
2018/04/17,5
2018/04/18,5
2018/04/20,5
2018/04/21,8
2018/04/22,8
2018/04/23,5
2018/04/27,10
2018/04/28,15
2018/05/01,10
2018/05/03,5
2018/05/04,10
2018/05/07,5
2018/05/10,5
2018/05/11,8
2018/05/12,10
2018/05/14,5
2018/05/17,8
2018/05/18,8
2018/05/19,8
2018/05/20,5
2018/05/21,5
2018/05/22,8
2018/05/25,8
2018/05/26,8
2018/05/28,8
2018/05/29,5
2018/05/30,5
2018/06/01,8
2018/06/05,3
2018/06/06,10
2018/06/07,5
2018/06/08,6
2018/06/09,8
2018/06/10,6
2018/06/12,8
2018/06/14,10
2018/06/15,8
2018/06/16,5
2018/06/17,8
2018/06/22,10
2018/06/23,8
2018/06/24,6
2018/06/27,5
2018/06/28,6
2018/06/29,8
2018/06/30,5
2018/07/01,5
2018/07/04,5
2018/07/05,5
2018/07/06,8
2018/07/07,5
2018/07/08,5
2018/07/11,5
2018/07/12,5
2018/07/13,5
2018/07/14,8
2018/07/15,5
2018/07/20,10
2018/07/21,5
2018/07/22,3
2018/07/25,7
2018/07/26,5
2018/07/27,5
2018/07/28,3
2018/07/29,5
2018/07/30,5
2018/08/03,8
2018/08/04,8
2018/08/05,8
2018/08/06,5
2018/08/07,6
2018/08/09,5
2018/08/10,5
2018/08/12,8
2018/08/13,5
2018/08/15,5
2018/08/16,5
2018/08/17,8
2018/08/18,5
2018/08/19,5
2018/08/20,6
2018/08/22,5
2018/08/23,5
2018/08/24,5
2018/08/25,5
2018/08/26,3
2018/08/27,4
2018/08/29,3
2018/08/31,8
2018/09/01,8
2018/09/02,8
2018/09/03,5
2018/09/04,7
2018/09/06,7
2018/09/07,7
2018/09/08,3
2018/09/09,5
2018/09/10,3
2018/09/11,3
2018/09/12,7
2018/09/14,5
2018/09/15,5
2018/09/17,3
2018/09/18,3
2018/09/19,4
2018/09/21,10
2018/09/22,5
2018/09/23,8
2018/09/25,7
2018/09/26,7
2018/09/28,3
2018/09/29,5
2018/09/30,6
2018/10/01,3
2018/10/02,4
2018/10/04,12
2018/10/05,5
2018/10/07,8
2018/10/08,3
2018/10/09,5
2018/10/11,3
2018/10/12,10
2018/10/13,5
2018/10/14,3
2018/10/15,3
2018/10/16,7
2018/10/19,10
2018/10/20,3
2018/10/21,5
2018/10/22,3
2018/10/23,6
2018/10/26,6
2018/10/27,5
2018/10/28,3
2018/10/29,3
2018/10/30,3
2018/10/31,7
2018/11/02,8
2018/11/03,3
2018/11/04,6
2018/11/05,6
2018/11/06,8
2018/11/07,3
2018/11/08,5
2018/11/09,5
2018/11/10,3
2018/11/11,5
2018/11/12,5
2018/11/13,3
2018/11/15,5
2018/11/16,3
2018/11/17,8
2018/11/18,4
2018/11/19,3
2018/11/20,6
2018/11/21,3
2018/11/22,5
2018/11/23,5
2018/11/24,6
2018/11/25,5
2018/11/27,3
2018/11/28,5
2018/11/29,3
2018/11/30,5
2018/12/01,8
2018/12/02,8
2018/12/03,5
2018/12/05,8
2018/12/06,5
2018/12/07,8
2018/12/08,6
2018/12/09,6
2018/12/10,3
2018/12/11,7
2018/12/12,3
2018/12/13,5
2018/12/14,10
2018/12/15,5
2018/12/16,3
2018/12/17,7
2018/12/18,3
2018/12/20,13
2018/12/21,10
2018/12/22,3
2018/12/23,6
2018/12/24,8
2018/12/25,6
2018/12/26,6
2018/12/27,8
2018/12/28,10
2018/12/29,3
2018/12/30,8
2018/12/31,6
2019/01/01,16
2019/01/02,3
2019/01/04,5
2019/01/05,5
2019/01/06,3
2019/01/07,6
2019/01/10,3
2019/01/11,8
2019/01/12,10
2019/01/13,3
2019/01/15,8
2019/01/17,3
2019/01/18,5
2019/01/19,10
2019/01/20,3
2019/01/23,5
2019/01/24,5
2019/01/25,3
2019/01/26,8
2019/01/27,6
2019/01/28,8
2019/01/29,4
2019/01/31,3
2019/02/01,8
2019/02/02,3
2019/02/06,5
2019/02/07,3
2019/02/08,11
2019/02/12,3
2019/02/13,5
2019/02/14,5
2019/02/15,10
2019/02/16,5
2019/02/19,14
2019/02/21,3
2019/02/22,5
2019/02/23,6
2019/02/24,3
2019/02/26,5
2019/02/27,3
2019/03/01,3
2019/03/02,5
2019/03/03,5
2019/03/04,3
2019/03/06,5
2019/03/07,3
2019/03/08,5
2019/03/09,8
2019/03/10,4
2019/03/11,3
2019/03/13,3
2019/03/14,5
2019/03/15,5
2019/03/16,3
2019/03/17,3
2019/03/18,2
2019/03/20,5
2019/03/21,3
2019/03/22,10
2019/03/23,16
2019/03/24,3
2019/03/25,4
2019/03/27,5
2019/03/28,4
2019/03/29,10
2019/03/30,5
2019/03/31,4
2019/04/01,3
2019/04/02,5
2019/04/03,3
2019/04/05,6
2019/04/06,5
2019/04/07,5
2019/04/08,6
2019/04/09,2
2019/04/11,3
2019/04/12,7
2019/04/13,7
2019/04/14,5
2019/04/17,6
2019/04/19,7
2019/04/20,7
2019/04/21,6
2019/04/23,2
2019/04/24,3
2019/04/25,7
2019/04/26,3
2019/04/27,6
2019/04/28,7
2019/04/30,8
2019/05/01,6
2019/05/02,6
2019/05/03,2
2019/05/05,4
2019/05/06,5
2019/05/08,3
2019/05/09,10
2019/05/10,2
2019/05/11,7
2019/05/12,8
2019/05/13,8
2019/05/14,4
2019/05/15,2
2019/05/16,4
2019/05/17,5
2019/05/18,9
2019/05/19,8
2019/05/20,6
2019/05/23,5
2019/05/24,7
2019/05/25,15
2019/05/26,10
2019/05/29,2
2019/05/30,6
2019/05/31,10
2019/06/01,9
2019/06/02,4
2019/06/05,10
2019/06/06,9
2019/06/07,3
2019/06/08,10
2019/06/11,8
2019/06/13,6
2019/06/14,8
2019/06/15,10
2019/06/16,11
2019/06/21,5
2019/06/22,10
2019/06/23,10
2019/06/27,5
2019/06/28,13
2019/06/29,10
2019/07/01,5
2019/07/02,7
2019/07/03,5
2019/07/05,10
2019/07/06,10
2019/07/12,15
2019/07/13,16
2019/07/19,8
2019/07/20,8
2019/07/21,6
2019/07/23,5
2019/07/26,5
2019/07/27,8
2019/07/28,6
2019/07/31,6
2019/08/02,8
2019/08/03,8
2019/08/06,4
2019/08/07,3
2019/08/08,8
2019/08/10,5
2019/08/11,8
2019/08/14,5
2019/08/15,4
2019/08/16,3
2019/08/17,6
2019/08/18,6
2019/08/19,3
2019/08/22,8
2019/08/23,8
2019/08/24,8
2019/08/25,5
2019/08/28,5
2019/08/30,10
2019/08/31,8
2019/09/01,6
2019/09/05,15
2019/09/06,12
2019/09/07,5
2019/09/11,4
2019/09/13,5
2019/09/14,3
2019/09/15,5
2019/09/19,6
2019/09/21,5
2019/09/22,8
2019/09/23,6
2019/09/25,4
2019/09/26,1
2019/09/27,8
2019/09/28,8
2019/09/29,4
2019/10/02,8
2019/10/04,7
2019/10/05,10
2019/10/06,5
2019/10/08,5
2019/10/10,3
2019/10/11,6
2019/10/12,8
2019/10/13,6
2019/10/17,5
2019/10/18,6
2019/10/19,8
2019/10/23,5
2019/10/24,5
2019/10/25,8
2019/10/26,10
2019/10/27,8
2019/11/01,12
2019/11/02,5
2019/11/04,4
2019/11/06,5
2019/11/08,5
2019/11/09,5
2019/11/10,4
2019/11/11,3
2019/11/13,5
2019/11/14,6
2019/11/16,8
2019/11/21,9
2019/11/22,8
2019/11/23,8
2019/11/28,4
2019/11/30,10
2019/12/01,3
2019/12/05,4
2019/12/06,7
2019/12/07,10
2019/12/09,5
2019/12/11,3
2019/12/12,10
2019/12/13,15
2019/12/15,6
2019/12/16,5
2019/12/18,7
2019/12/19,13
2019/12/20,5
2019/12/21,10
2019/12/24,10
2019/12/25,12
2019/12/26,5
2019/12/28,10
2019/12/30,5
2019/12/31,8
2020/01/01,8
2020/01/03,5
