ds,y
2018/05/11,5
2018/07/02,3
2018/07/03,1
2018/07/04,2
2018/07/05,3
2018/07/06,8
2018/07/07,1
2018/07/11,3
2018/07/24,1
2018/08/01,2
2018/08/02,3
2018/08/23,3
2018/09/05,4
2018/09/07,7
2018/09/10,3
2018/09/29,5
2018/11/18,3
2019/01/13,4
2019/01/16,4.2
2019/01/18,5
2019/01/19,4
2019/01/23,3
2019/02/01,6
2019/02/08,8
2019/03/28,2
2019/03/29,4
2019/03/30,3
2019/03/31,3
2019/04/01,3
2019/04/05,3
2019/04/06,3
2019/04/07,3
2019/04/08,3
2019/04/09,3
2019/04/11,3
2019/04/12,3
2019/04/13,3
2019/04/14,3
2019/04/18,3
2019/04/20,3
2019/04/21,3
2019/04/22,3
2019/04/23,3
2019/04/24,3
2019/04/25,6
2019/04/26,3
2019/04/27,3
2019/04/28,4
2019/04/29,2
2019/04/30,4
2019/05/01,4
2019/05/02,5
2019/05/03,3
2019/05/04,2
2019/05/05,2
2019/05/06,3
2019/05/07,2
2019/05/10,3
2019/05/11,5.5
2019/05/12,4
2019/05/13,2
2019/05/14,3
2019/05/16,2.5
2019/05/17,3
2019/05/18,4
2019/05/19,4
2019/05/20,3
2019/05/22,2
2019/05/24,3
2019/05/25,4
2019/05/26,2
2019/05/27,2
2019/05/28,2
2019/05/29,1.5
2019/05/30,3
2019/05/31,3
2019/06/01,3
2019/06/02,4
2019/06/04,2.5
2019/06/05,4
2019/06/06,3
2019/06/07,4.2
2019/06/08,5
2019/06/09,2
2019/06/11,5
2019/06/12,4
2019/06/13,3.1
2019/06/16,5
2019/06/19,2
2019/06/21,3
2019/06/22,5
2019/06/24,2
2019/06/26,2
2019/06/27,2
2019/06/28,2
2019/06/29,2.5
2019/06/30,2
2019/07/01,2
2019/07/02,4
2019/07/03,2
2019/07/04,1.5
2019/07/05,6
2019/07/06,5
2019/07/07,4
2019/07/08,2
2019/07/09,2
2019/07/10,2
2019/07/12,3
2019/07/13,3
2019/07/14,2.5
2019/07/15,2
2019/07/16,2.6
2019/07/18,3
2019/07/19,2
2019/07/20,2.5
2019/07/21,1.5
2019/07/22,1.5
2019/07/23,2
2019/07/24,1.5
2019/07/25,1
2019/07/26,3.5
2019/07/27,3
2019/07/28,3.5
2019/07/29,1.5
2019/07/30,1
2019/07/31,2
2019/08/01,1.5
2019/08/02,1
2019/08/03,1.5
2019/08/04,2
2019/08/05,2.5
2019/08/08,2
2019/08/09,4
2019/08/11,1.5
2019/08/13,2
2019/08/14,1
2019/08/18,2
2019/08/19,1.5
2019/08/20,1.5
2019/08/22,1.5
2019/08/23,1.5
2019/08/24,2
2019/08/25,2.5
2019/08/26,1
2019/08/27,1
2019/08/28,1.5
2019/08/29,1.5
2019/08/30,3
2019/08/31,5.5
2019/09/01,3.5
2019/09/05,1.5
2019/09/06,3
2019/09/07,3
2019/09/08,2.5
2019/09/09,3
2019/09/11,2
2019/09/20,3
2019/09/22,3
2019/09/25,1.5
2019/09/26,3
2019/09/27,2
2019/09/28,5.5
2019/09/30,1.5
2019/10/02,2
2019/10/03,1
2019/10/05,3
2019/10/06,3
2019/10/07,3
2019/10/08,3
2019/10/12,4
2019/10/13,3
2019/10/16,1
2019/10/18,1
2019/10/19,2
2019/10/20,3
2019/10/24,2
2019/10/25,3
2019/10/26,3
2019/10/27,4
2019/10/28,3
2019/10/29,2
2019/11/01,4
2019/11/02,4
2019/11/03,2
2019/11/04,2
2019/11/06,1
2019/11/07,1
2019/11/08,3
2019/11/14,3
2019/11/16,4
2019/11/17,4.2
2019/11/18,1
2019/11/22,3
2019/11/23,4
2019/11/24,3
2019/11/25,2
2019/11/27,2
2019/11/28,2
2019/11/29,3
2019/11/30,4
2019/12/01,4
2019/12/05,5
2019/12/07,4
2019/12/08,2
2019/12/09,2
2019/12/11,2
2019/12/12,2
2019/12/13,4
2019/12/14,6
2019/12/15,6
2019/12/17,3
2019/12/19,6
2019/12/20,5
2019/12/21,5
2019/12/22,3
2019/12/23,3
2019/12/24,3
2019/12/25,3
2019/12/26,1.5
2019/12/27,4
2019/12/28,5
2019/12/30,2
2019/12/31,5
2020/01/01,5
2020/01/02,2
2020/01/03,4
2020/01/06,1.5
2020/01/07,1.5
2020/01/08,2
2020/01/09,1
2020/01/10,3
2020/01/11,4
2020/01/12,2
2020/01/13,3
2020/01/16,3
2020/01/17,3
2020/01/19,4
2020/01/20,2
2020/01/21,2
2020/01/22,2
2020/01/23,2
2020/01/25,5
2020/01/31,2
2020/02/04,1
2020/02/06,3
2020/02/07,3
2020/02/08,2
2020/02/13,3
2020/02/14,3
2020/02/17,2
2020/02/19,2
2020/02/22,2
2020/02/23,2
2020/02/24,2
2020/02/26,2
2020/02/27,2
2020/02/28,3
2020/03/01,2
2020/03/02,2
2020/03/03,3
2020/03/05,1
2020/03/06,3
2020/03/07,5
2020/03/08,5
2020/03/09,2
2020/03/11,2
2020/03/12,3
2020/03/13,2
2020/03/14,6
2020/03/17,3
2020/03/20,3
2020/03/21,2
2020/03/22,3
2020/03/23,2
2020/03/27,2
2020/03/28,2
2020/03/30,2
2020/04/01,1.8
2020/04/03,2
2020/04/05,2
2020/06/19,4
2020/06/21,3
2020/06/22,3
2020/06/25,3
2020/06/26,3
2020/06/27,3.5
2020/06/28,3
2020/07/01,2
2020/07/02,2.5
2020/07/03,4
2020/07/04,3
2020/07/05,3
2020/07/06,2
2020/07/07,3
2020/07/09,1
2020/07/10,4
2020/07/11,1.5
2020/07/12,3
2020/07/13,2
2020/07/17,3
2020/07/18,3
2020/07/19,2
2020/07/20,2
2020/07/24,2
2020/07/25,4
2020/07/28,2
2020/07/31,3
2020/08/01,3
2020/08/02,2
2020/08/03,2.5
2020/08/06,2
2020/08/07,2.5
2020/08/08,2
2020/08/09,3
2020/08/10,4
2020/08/14,3
2020/08/15,2
2020/08/16,1.5
2020/08/19,1.5
2020/08/20,1.5
2020/08/21,3
2020/08/22,2
2020/08/23,2
2020/08/25,3
2020/08/27,2.5
2020/08/28,2
2020/08/29,3
2020/08/30,2
2020/09/03,1
2020/09/04,3
2020/09/05,2
2020/09/06,3.2
2020/09/07,2
2020/09/10,2
2020/09/11,2
2020/09/12,3
2020/09/13,2.5
2020/09/14,3
2020/09/15,1.5
2020/09/18,3.5
2020/09/19,3
2020/09/25,3
2020/09/26,4
2020/09/27,1
2020/10/01,3
