ds,y
2018/01/01,110
2018/01/05,30
2018/01/06,50
2018/01/07,50
2018/01/08,40
2018/01/09,30
2018/01/10,20
2018/01/11,20
2018/01/12,30
2018/01/13,60
2018/01/14,110
2018/01/15,40
2018/01/18,40
2018/01/19,50
2018/01/20,40
2018/01/21,30
2018/01/22,50
2018/01/24,30
2018/01/25,50
2018/01/26,50
2018/01/27,40
2018/01/28,40
2018/01/29,20
2018/01/31,30
2018/02/02,60
2018/02/03,50
2018/02/04,30
2018/02/06,40
2018/02/08,20
2018/02/09,40
2018/02/10,40
2018/02/11,50
2018/02/12,30
2018/02/13,30
2018/02/14,50
2018/02/15,80
2018/02/16,60
2018/02/18,30
2018/02/19,28
2018/02/20,20
2018/02/21,20
2018/02/22,24
2018/02/23,30
2018/02/24,30
2018/02/25,46
2018/02/26,30
2018/02/27,10
2018/02/28,10
2018/03/01,15
2018/03/02,30
2018/03/03,40
2018/03/04,30
2018/03/05,40
2018/03/06,20
2018/03/07,10
2018/03/08,30
2018/03/09,20
2018/03/10,20
2018/03/11,40
2018/03/12,40
2018/03/13,10
2018/03/14,12
2018/03/15,20
2018/03/16,30
2018/03/17,40
2018/03/18,40
2018/03/19,10
2018/03/20,20
2018/03/21,10
2018/03/22,16
2018/03/23,30
2018/03/24,20
2018/03/25,37
2018/03/26,40
2018/03/27,20
2018/03/28,40
2018/03/29,15
2018/03/30,40
2018/03/31,50
2018/04/01,30
2018/04/02,40
2018/04/03,20
2018/04/04,20
2018/04/05,30
2018/04/06,40
2018/04/07,20
2018/04/08,50
2018/04/09,40
2018/04/12,30
2018/04/13,40
2018/04/14,40
2018/04/15,50
2018/04/16,30
2018/04/18,30
2018/04/19,10
2018/04/20,30
2018/04/21,50
2018/04/22,60
2018/04/23,40
2018/04/26,20
2018/04/27,30
2018/04/28,40
2018/04/29,50
2018/04/30,40
2018/05/01,30
2018/05/02,29
2018/05/03,35
2018/05/04,20
2018/05/05,40
2018/05/06,50
2018/05/07,30
2018/05/08,10
2018/05/09,22
2018/05/11,30
2018/05/12,50
2018/05/13,70
2018/05/14,40
2018/05/17,30
2018/05/18,30
2018/05/19,30
2018/05/20,50
2018/05/21,30
2018/05/23,22
2018/05/24,30
2018/05/25,40
2018/05/26,50
2018/05/27,50
2018/05/28,40
2018/05/29,15
2018/05/31,10
2018/06/01,30
2018/06/02,30
2018/06/03,50
2018/06/04,30
2018/06/06,10
2018/06/07,10
2018/06/08,40
2018/06/09,40
2018/06/10,50
2018/06/11,30
2018/06/12,28
2018/06/13,40
2018/06/14,30
2018/06/15,40
2018/06/16,30
2018/06/17,40
2018/06/19,30
2018/06/20,30
2018/06/21,30
2018/06/22,30
2018/06/23,30
2018/06/24,40
2018/06/25,40
2018/06/26,30
2018/06/27,20
2018/06/28,20
2018/06/29,50
2018/06/30,30
2018/07/01,50
2018/07/02,30
2018/07/03,30
2018/07/04,20
2018/07/05,30
2018/07/06,50
2018/07/07,40
2018/07/08,40
2018/07/09,30
2018/07/11,14
2018/07/13,30
2018/07/14,40
2018/07/15,36
2018/07/16,30
2018/07/17,20
2018/07/18,30
2018/07/19,30
2018/07/20,40
2018/07/21,80
2018/07/22,50
2018/07/23,30
2018/07/24,20
2018/07/26,30
2018/07/27,50
2018/07/28,50
2018/07/29,50
2018/07/30,40
2018/08/01,30
2018/08/03,50
2018/08/04,50
2018/08/05,50
2018/08/06,40
2018/08/07,40
2018/08/08,60
2018/08/09,50
2018/08/10,40
2018/08/11,50
2018/08/12,50
2018/08/13,30
2018/08/15,30
2018/08/17,50
2018/08/18,50
2018/08/19,40
2018/08/20,20
2018/08/21,10
2018/08/22,30
2018/08/23,20
2018/08/24,10
