ds,y
2018/04/15,1
2018/04/18,1
2018/04/21,1
2018/04/22,1
2018/04/23,1
2018/04/26,1
2018/04/28,1
2018/05/01,1
2018/05/04,1
2018/05/05,1
2018/05/07,1
2018/05/10,1
2018/05/13,1
2018/05/14,1
2018/05/15,1
2018/05/17,1
2018/05/19,1
2018/05/21,1
2018/05/23,1
2018/05/26,1
2018/05/29,1
2018/05/30,1
2018/06/02,1
2018/06/03,1
2018/06/07,1
2018/06/09,1
2018/06/10,1
2018/06/13,1
2018/06/14,1
2018/06/15,1
2018/06/16,1
2018/06/17,1
2018/06/22,1
2018/06/23,1
2018/06/25,1
2018/06/29,1
2018/07/01,1
2018/07/03,1
2018/07/06,1
2018/07/07,1
2018/07/11,1
2018/07/14,1
2018/07/15,1
2018/07/17,1
2018/07/21,1
2018/07/22,1
2018/07/27,1
2018/08/01,1
2018/08/03,1
2018/08/05,1
2018/08/08,1
2018/08/11,1
2018/08/13,1
2018/08/18,1
2018/08/19,1
2018/08/22,1
2018/08/26,1
2018/08/31,1
2018/09/02,1
2018/09/06,1
2018/09/08,1
2018/09/10,1
2018/09/13,1
2018/09/15,1
2018/09/20,1
2018/09/22,1
2018/09/23,1
2018/09/27,1
2018/09/29,1
2018/09/30,1
2018/10/02,1
2018/10/04,1
2018/10/07,1
2018/10/11,1
2018/10/13,1
2018/10/16,1
2018/10/19,1
2018/10/20,1
2018/10/23,1
2018/10/28,1
2018/10/30,1
2018/11/02,1
2018/11/04,1
2018/11/06,1
2018/11/07,1
2018/11/09,1
2018/11/11,1
2018/11/14,1
2018/11/17,1
2018/11/20,1
2018/11/23,1
2018/11/24,1
2018/11/27,1
2018/11/30,1
2018/12/02,1
2018/12/06,1
2018/12/08,1
2018/12/11,1
2018/12/13,1
2018/12/14,1
2018/12/18,1
2018/12/20,1
2018/12/23,1
2018/12/25,1
2018/12/26,1
2018/12/27,1
2018/12/30,1
2019/01/02,1
2019/01/06,1
2019/01/11,1
2019/01/13,1
2019/01/17,1
2019/01/20,1
2019/01/25,1
2019/01/27,1
2019/01/30,1
2019/02/01,1
2019/02/06,1
2019/02/08,1
2019/02/14,1
2019/02/15,1
2019/02/19,1
2019/02/24,1
2019/03/01,1
2019/03/06,1
2019/03/09,1
2019/03/10,1
2019/03/15,1
2019/03/19,1
2019/03/22,1
2019/03/23,1
2019/03/27,1
2019/03/29,1
2019/03/31,1
2019/04/02,1
2019/04/06,1
2019/04/08,1
2019/04/12,1
2019/04/16,1
2019/04/19,1
2019/04/21,1
2019/04/25,1
2019/04/27,1
2019/04/28,1
2019/05/01,1
2019/05/02,1
2019/05/06,1
2019/05/09,1
2019/05/11,1
2019/05/12,1
2019/05/13,1
2019/05/17,1
2019/05/18,1
2019/05/20,1
2019/05/24,1
2019/05/27,1
2019/05/31,1
2019/06/01,2
2019/06/04,1
2019/06/05,1
2019/06/08,1
2019/06/11,1
2019/06/14,1
2019/06/15,1
2019/06/19,1
2019/06/21,1
2019/06/28,1
2019/06/29,1
2019/06/30,1
2019/07/03,1
2019/07/05,1
2019/07/06,1
2019/07/10,1
2019/07/12,1
2019/07/13,1
2019/07/19,1
2019/07/21,1
2019/07/24,1
2019/07/26,1
2019/07/29,1
2019/08/02,1
2019/08/05,1
2019/08/08,1
2019/08/10,1
2019/08/15,1
2019/08/17,1
2019/08/19,1
2019/08/21,1
2019/08/24,1
2019/08/28,1
2019/08/29,1
2019/08/31,1
2019/09/04,1
2019/09/06,1
2019/09/07,1
2019/09/09,1
2019/09/13,1
2019/09/15,1
2019/09/19,2
2019/09/21,1
2019/09/24,1
2019/09/25,1
2019/09/27,1
2019/10/01,1
2019/10/04,1
2019/10/05,1
2019/10/09,1
2019/10/12,1
2019/10/15,1
2019/10/18,1
2019/10/23,1
2019/10/25,1
2019/10/27,1
2019/10/31,1
2019/11/02,1
2019/11/06,1
2019/11/09,1
2019/11/13,1
2019/11/16,1
2019/11/20,1
2019/11/24,1
2019/11/30,1
2019/12/02,1
2019/12/06,1
2019/12/07,1
2019/12/09,1
2019/12/12,1
2019/12/14,1
2019/12/16,1
2019/12/18,1
2019/12/19,1
2019/12/21,1
2019/12/22,1
2019/12/24,1
2019/12/25,1
2019/12/27,1
2019/12/28,1
2019/12/29,1
2019/12/31,1
2020/01/03,1
2020/01/04,2
2020/01/05,2
2020/01/06,2
2020/01/07,1
2020/01/09,1
2020/01/11,1
2020/01/15,1
2020/01/17,1
2020/01/20,1
2020/01/25,1
2020/01/28,1
2020/02/06,1
2020/02/14,1
2020/02/19,1
2020/03/07,1
2020/03/12,1
2020/03/13,1
2020/03/16,1
2020/03/28,1
2020/06/19,1
2020/06/21,1
2020/06/25,1
2020/06/27,1
2020/07/02,1
2020/07/07,1
2020/07/09,1
2020/07/10,1.4
2020/07/11,0.4
2020/07/12,0.16
2020/07/14,1
2020/07/15,0.24
2020/07/17,0.24
2020/07/18,0.32
2020/07/22,0.4
2020/07/24,1
2020/07/30,1
2020/08/03,1
2020/08/08,1
2020/08/14,1
2020/08/18,1
2020/08/22,1
2020/08/26,1
2020/09/03,1
2020/09/06,1
2020/09/11,1
2020/09/17,1
2020/09/19,1
2020/09/26,1
2020/10/01,1
2020/10/05,1
2020/10/09,1
2020/10/15,1
2020/10/17,1
2020/10/23,2
2020/10/30,2
2020/11/03,1
2020/11/06,0.08
2020/11/07,1
2020/11/11,1
2020/11/14,1
2020/11/21,1
2020/11/24,1
2020/11/28,1
