ds,y
2018/01/01,30
2018/01/02,10
2018/01/05,10
2018/01/06,20
2018/01/07,15
2018/01/08,10
2018/01/09,15
2018/01/10,15
2018/01/11,10
2018/01/12,10
2018/01/13,30
2018/01/14,30
2018/01/15,10
2018/01/18,15
2018/01/19,20
2018/01/20,20
2018/01/21,15
2018/01/22,20
2018/01/24,10
2018/01/25,15
2018/01/26,15
2018/01/27,15
2018/01/28,15
2018/01/30,10
2018/01/31,10
2018/02/02,20
2018/02/03,20
2018/02/04,20
2018/02/05,10
2018/02/06,5
2018/02/09,20
2018/02/10,15
2018/02/11,20
2018/02/12,15
2018/02/13,5
2018/02/14,20
2018/02/15,30
2018/02/16,25
2018/02/18,20
2018/02/19,14
2018/02/20,14
2018/02/21,17
2018/02/22,12
2018/02/23,15
2018/02/24,12
2018/02/25,15
2018/02/26,8
2018/02/27,8
2018/02/28,5
2018/03/01,10
2018/03/02,15
2018/03/03,15
2018/03/04,16
2018/03/05,15
2018/03/06,8
2018/03/07,10
2018/03/08,12
2018/03/09,14
2018/03/10,10
2018/03/11,15
2018/03/12,18
2018/03/13,10
2018/03/14,10
2018/03/15,8
2018/03/16,20
2018/03/17,10
2018/03/18,15
2018/03/19,10
2018/03/21,12
2018/03/22,8
2018/03/23,23
2018/03/24,10
2018/03/25,20
2018/03/26,15
2018/03/27,10
2018/03/28,15
2018/03/29,20
2018/03/30,15
2018/03/31,15
2018/04/01,15
2018/04/02,20
2018/04/03,5
2018/04/05,20
2018/04/06,10
2018/04/07,15
2018/04/08,20
2018/04/09,20
2018/04/13,20
2018/04/14,20
2018/04/15,25
2018/04/16,12
2018/04/17,15
2018/04/19,5
2018/04/20,10
2018/04/21,20
2018/04/22,20
2018/04/23,20
2018/04/25,5
2018/04/26,10
2018/04/27,15
2018/04/28,15
2018/04/29,15
2018/04/30,30
2018/05/02,35
2018/05/03,15
2018/05/05,10
2018/05/06,20
2018/05/07,8
2018/05/08,5
2018/05/09,15
2018/05/11,10
2018/05/12,12
2018/05/13,30
2018/05/14,15
2018/05/15,18
2018/05/17,8
2018/05/18,15
2018/05/19,15
2018/05/20,15
2018/05/21,5
2018/05/23,8
2018/05/24,10
2018/05/25,15
2018/05/26,15
2018/05/27,20
2018/05/28,15
2018/05/29,17
2018/05/31,5
2018/06/01,10
2018/06/02,12
2018/06/03,20
2018/06/04,3
2018/06/05,10
2018/06/08,10
2018/06/09,10
2018/06/10,20
2018/06/11,10
2018/06/13,9
2018/06/14,15
2018/06/15,15
2018/06/16,20
2018/06/17,10
2018/06/18,4
2018/06/19,15
2018/06/21,6
2018/06/22,15
2018/06/23,8
2018/06/24,15
2018/06/25,8
2018/06/26,15
2018/06/28,8
2018/06/29,15
2018/06/30,15
2018/07/01,15
2018/07/02,15
2018/07/03,10
2018/07/04,8
2018/07/05,5
2018/07/06,40
2018/07/08,5
2018/07/11,10
2018/07/13,12
2018/07/14,20
2018/07/16,10
2018/07/17,15
2018/07/19,5
2018/07/20,10
2018/07/21,15
2018/07/22,6
2018/07/23,5
2018/07/26,8
2018/07/27,20
2018/07/28,15
2018/07/29,10
2018/07/30,12
2018/08/01,10
2018/08/03,15
2018/08/04,6
2018/08/05,15
2018/08/06,8
2018/08/07,15
2018/08/08,15
2018/08/09,10
2018/08/10,5
2018/08/11,12
2018/08/12,15
2018/08/13,5
2018/08/15,8
2018/08/17,5
2018/08/18,12
2018/08/19,15
2018/08/20,10
2018/08/21,5
2018/08/22,10
2018/08/23,10
2018/08/24,10
2018/08/25,15
2018/08/26,10
2018/08/27,5
2018/08/29,6
2018/08/30,3
2018/08/31,10
2018/09/01,15
2018/09/02,15
2018/09/04,8
2018/09/05,8
2018/09/06,10
2018/09/07,12
2018/09/08,15
2018/09/09,12
2018/09/10,8
2018/09/12,8
2018/09/13,4
2018/09/14,15
2018/09/15,15
2018/09/16,15
2018/09/17,12
2018/09/18,4
2018/09/19,10
2018/09/20,8
2018/09/21,15
2018/09/22,10
2018/09/23,10
2018/09/25,8
2018/09/28,10
2018/09/29,13
2018/09/30,10
2018/10/01,15
2018/10/02,5
2018/10/03,8
2018/10/04,8
2018/10/05,15
2018/10/06,15
2018/10/07,15
2018/10/08,12
2018/10/09,10
2018/10/11,15
2018/10/12,15
2018/10/13,20
2018/10/14,15
2018/10/15,12
2018/10/16,5
2018/10/17,10
2018/10/18,13
2018/10/19,15
2018/10/20,15
2018/10/21,15
2018/10/22,12
2018/10/23,5
2018/10/24,10
2018/10/25,10
2018/10/26,10
2018/10/27,12
2018/10/28,15
2018/10/29,10
2018/10/31,5
2018/11/01,8
