ds,y
2018/01/01,4
2018/01/02,2
2018/01/05,1
2018/01/06,2
2018/01/07,3
2018/01/08,1
2018/01/10,3
2018/01/11,3
2018/01/13,3
2018/01/14,4
2018/01/15,3
2018/01/17,2
2018/01/18,2
2018/01/19,2
2018/01/20,4
2018/01/21,3
2018/01/23,1
2018/01/24,1
2018/01/25,3
2018/01/26,2
2018/01/27,4
2018/01/28,3
2018/01/31,2
2018/02/01,2
2018/02/02,1
2018/02/03,3
2018/02/04,3
2018/02/05,2
2018/02/06,2
2018/02/08,1
2018/02/09,3
2018/02/10,3
2018/02/11,4
2018/02/12,2
2018/02/13,2
2018/02/14,2
2018/02/15,3
2018/02/16,5
2018/02/18,5
2018/02/19,2
2018/02/20,4
2018/02/21,3
2018/02/25,3
2018/02/26,1
2018/02/28,1
2018/03/01,2
2018/03/03,3
2018/03/04,3
2018/03/06,2
2018/03/09,1
2018/03/10,3
2018/03/11,3
2018/03/12,3
2018/03/14,2
2018/03/15,1
2018/03/16,2
2018/03/17,1
2018/03/18,3
2018/03/19,2
2018/03/20,0.5
2018/03/21,2
2018/03/22,0.5
2018/03/23,2.5
2018/03/24,5
2018/03/25,2.5
2018/03/26,3
2018/03/27,1
2018/03/28,2
2018/03/30,3
2018/03/31,3
2018/04/01,3
2018/04/02,3
2018/04/05,5
2018/04/06,2
2018/04/07,2
2018/04/08,3
2018/04/09,3
2018/04/12,3
2018/04/13,2
2018/04/14,3
2018/04/15,3
2018/04/16,1
2018/04/19,2
2018/04/20,3
2018/04/21,3
2018/04/22,1
2018/04/23,1
2018/04/25,1
2018/04/26,1
2018/04/27,3
2018/04/28,3
2018/04/29,3
2018/04/30,2
2018/05/01,1
2018/05/04,3
2018/05/05,3
2018/05/06,3
2018/05/08,2
2018/05/10,2
2018/05/11,3
2018/05/13,3
2018/05/14,1
2018/05/17,1
2018/05/18,3
2018/05/19,3
2018/05/20,2
2018/05/22,0.5
2018/05/23,2
2018/05/24,1
2018/05/25,2
2018/05/26,2
2018/05/27,3
2018/05/28,2
2018/05/29,5
2018/05/30,1
2018/06/01,3
2018/06/02,1
2018/06/03,3
2018/06/05,0.3
2018/06/07,1
2018/06/08,3
2018/06/10,3
2018/06/11,2
2018/06/14,3
2018/06/16,3
2018/06/17,2
2018/06/18,3
2018/06/22,1
2018/06/23,2
2018/06/24,3
2018/06/28,2
2018/06/29,2
2018/06/30,3
2018/07/02,2
2018/07/03,3
2018/07/04,2
2018/07/08,3
2018/07/09,1
2018/07/11,1
2018/07/13,3
2018/07/14,2
2018/07/15,4
2018/07/20,3
2018/07/21,3
2018/07/24,2
2018/07/25,1
2018/07/26,2
2018/07/27,1
2018/07/29,3
2018/07/30,2
2018/08/01,1
2018/08/03,3
2018/08/04,1
2018/08/05,2
2018/08/06,2
2018/08/07,2
2018/08/09,3
2018/08/11,2
2018/08/12,2
2018/08/13,2
2018/08/15,1
2018/08/17,1
2018/08/18,3
2018/08/19,3
2018/08/21,1
2018/08/23,3
2018/08/24,1
2018/08/25,2
2018/08/26,2
2018/08/27,2
2018/08/29,1
2018/08/30,2
2018/09/01,3
2018/09/02,3
2018/09/04,1
2018/09/06,2
2018/09/07,1
2018/09/08,2
2018/09/09,3
2018/09/10,1
2018/09/11,1
2018/09/12,1
2018/09/13,1
2018/09/14,1
2018/09/15,3
2018/09/16,3
2018/09/17,2
2018/09/18,1
2018/09/19,1
2018/09/20,3
2018/09/21,2
2018/09/22,3
2018/09/23,3
2018/09/24,2
2018/09/25,2
2018/09/27,2
2018/09/28,1
2018/09/29,3
2018/09/30,3
2018/10/01,2
2018/10/02,1
2018/10/03,2
2018/10/04,2
2018/10/06,3
2018/10/07,3
2018/10/09,1
2018/10/10,1
2018/10/11,2
2018/10/12,3
2018/10/13,3
2018/10/14,3
2018/10/15,2
2018/10/17,2
2018/10/18,1
2018/10/19,2
2018/10/20,3
2018/10/21,3
2018/10/22,2
2018/10/25,2
2018/10/26,3
2018/10/27,3
2018/10/28,1
2018/10/30,1
2018/10/31,1
2018/11/01,1
2018/11/02,2
2018/11/03,3
2018/11/04,3
2018/11/05,2
2018/11/06,1
2018/11/07,3
2018/11/08,1
2018/11/09,4
2018/11/10,3
2018/11/11,3
2018/11/12,3
2018/11/14,2
2018/11/16,6
2018/11/18,4
2018/11/19,2
2018/11/20,2
2018/11/21,1
2018/11/22,1
2018/11/23,4
2018/11/24,1
2018/11/25,2
2018/11/27,1
2018/11/28,3
2018/11/30,2
2018/12/01,2
2018/12/03,2
2018/12/07,3
2018/12/09,4
2018/12/11,1
2018/12/13,2
2018/12/15,2
2018/12/16,1.5
2018/12/17,1
2018/12/18,1
2018/12/19,0.5
2018/12/21,2
2018/12/22,2
2018/12/23,1
2018/12/24,1
2018/12/25,3
2018/12/26,2
2018/12/28,3
2018/12/30,2
2018/12/31,3
2019/01/01,3
2019/01/02,1
2019/01/03,1
2019/01/04,2
2019/01/06,3
2019/01/08,2
2019/01/10,1
2019/01/11,2
2019/01/12,2
2019/01/13,2
2019/01/14,1.3
2019/01/15,2
2019/01/17,1
2019/01/18,3
2019/01/19,2
2019/01/20,3
2019/01/22,1
2019/01/23,2
2019/01/25,2
2019/01/26,3
2019/01/27,2
2019/01/28,2
2019/01/30,2
2019/01/31,3
2019/02/02,1
2019/02/03,3
2019/02/04,5
2019/02/06,2
2019/02/07,4
2019/02/08,1
2019/02/09,2
2019/02/10,2
2019/02/11,1
2019/02/14,1
2019/02/15,2
2019/02/16,1
2019/02/17,2
2019/02/18,2
2019/02/20,2
2019/02/22,3
2019/02/23,3
2019/02/25,2
2019/02/28,3.8
2019/03/01,2
2019/03/02,3
2019/03/03,3
2019/03/08,4
2019/03/10,2
2019/03/11,1
2019/03/12,1
2019/03/14,2
2019/03/16,3
2019/03/17,2
2019/03/18,1
2019/03/19,1.5
2019/03/20,1
2019/03/21,2
2019/03/22,3
2019/03/23,1
2019/03/24,3
2019/03/25,2
2019/03/27,2
2019/03/29,3
2019/03/30,2
2019/03/31,2
2019/04/02,1
2019/04/03,2
2019/04/04,2
2019/04/05,3
2019/04/06,1
2019/04/07,3
2019/04/08,2
2019/04/12,2
2019/04/13,2.5
2019/04/14,2
2019/04/15,2
2019/04/17,2
2019/04/18,1
2019/04/19,4
2019/04/20,5.7
2019/04/21,1.5
2019/04/22,2
2019/04/23,1.5
2019/04/24,3
2019/04/25,2
2019/04/26,3.5
2019/04/27,1.5
2019/04/28,2
2019/04/29,2
2019/04/30,4
2019/05/01,5
2019/05/03,3.5
2019/05/04,4
2019/05/05,2
2019/05/07,2
2019/05/10,2.5
2019/05/11,2.5
2019/05/12,3.5
2019/05/13,2
2019/05/15,2
2019/05/16,1
2019/05/17,2
2019/05/18,4
2019/05/19,1
2019/05/20,4.5
2019/05/21,1
2019/05/22,1
2019/05/23,1
2019/05/24,2
2019/05/25,4
2019/05/28,1
2019/05/29,2
2019/05/30,1
2019/05/31,3
2019/06/01,4
2019/06/02,2
2019/06/04,2
2019/06/05,4
2019/06/07,3
2019/06/08,4
2019/06/10,1
2019/06/12,1
2019/06/14,3
2019/06/15,3
2019/06/16,4.1
2019/06/17,2
2019/06/20,2
2019/06/21,3
2019/06/22,2
2019/06/23,3
2019/06/25,1
2019/06/26,1
2019/06/27,1
2019/06/28,2
2019/06/29,2
2019/06/30,3
2019/07/03,1
2019/07/04,1
2019/07/05,2
2019/07/06,3
2019/07/07,2
2019/07/08,1
2019/07/09,1
2019/07/10,2
2019/07/11,1.5
2019/07/12,2
2019/07/13,3
2019/07/14,3
2019/07/16,2
2019/07/17,0.5
2019/07/18,1
2019/07/19,2
2019/07/20,2
2019/07/21,3
2019/07/22,1
2019/07/23,1
2019/07/24,1
2019/07/25,2
2019/07/26,2
2019/07/27,3
2019/07/28,3
2019/07/29,2
2019/07/30,2
2019/07/31,1
2019/08/01,1.5
2019/08/02,3
2019/08/03,6
2019/08/04,4
2019/08/05,1
2019/08/06,1
2019/08/08,3.5
2019/08/09,1.5
2019/08/10,1
2019/08/11,2.5
2019/08/12,3
2019/08/14,1
2019/08/15,1
2019/08/16,3.84
2019/08/17,2
2019/08/18,2
2019/08/19,1
2019/08/20,1
2019/08/21,1
2019/08/23,2
2019/08/24,2
2019/08/25,2
2019/08/26,1
2019/08/27,1
2019/08/28,1
2019/08/29,1.5
2019/08/30,2
2019/08/31,2
2019/09/01,2
2019/09/02,1
2019/09/03,1
2019/09/04,1
2019/09/06,2
2019/09/07,3
2019/09/08,2.5
2019/09/09,1
2019/09/10,1.25
2019/09/11,1
2019/09/12,2
2019/09/13,1
2019/09/14,2
2019/09/15,1
2019/09/16,1
2019/09/17,1
2019/09/18,1
2019/09/19,1
2019/09/20,2
2019/09/21,2
2019/09/22,2.5
2019/09/23,1
2019/09/24,1
2019/09/25,1
2019/09/26,1
2019/09/27,1
2019/09/28,3
2019/09/29,3
2019/09/30,1.5
2019/10/01,1
2019/10/04,2
2019/10/05,3
2019/10/06,3
2019/10/07,1
2019/10/10,1
2019/10/11,3
2019/10/12,2
2019/10/13,3
2019/10/14,1.6
2019/10/15,1
2019/10/16,1
2019/10/17,1
2019/10/18,2
2019/10/19,2
2019/10/20,4
2019/10/21,1
2019/10/22,1
2019/10/23,1
2019/10/24,1
2019/10/25,2
2019/10/26,2
2019/10/27,3
2019/10/28,2
2019/10/30,1
2019/10/31,1
2019/11/01,2
2019/11/02,2
2019/11/03,2
2019/11/04,1.5
2019/11/05,2
2019/11/06,1
2019/11/08,3.5
2019/11/09,3
2019/11/10,2.5
2019/11/13,1.5
2019/11/14,1.5
2019/11/15,1.5
2019/11/16,3
2019/11/17,2
2019/11/19,1.5
2019/11/20,1
2019/11/21,1
2019/11/22,2.5
2019/11/24,2.5
2019/11/25,1.5
2019/11/28,1
2019/11/29,2
2019/11/30,2
2019/12/01,3
2019/12/03,1.5
2019/12/04,1.5
2019/12/05,0.5
2019/12/06,1.5
2019/12/07,2
2019/12/11,1.5
2019/12/12,1.5
2019/12/13,2
2019/12/14,3
2019/12/15,2
2019/12/17,1
2019/12/18,1
2019/12/19,1.5
2019/12/20,2
2019/12/21,1.5
2019/12/22,2.5
2019/12/24,2.5
2019/12/25,1
2019/12/26,1.5
2019/12/27,1.5
2019/12/28,1
2019/12/29,1.5
2019/12/30,1
2019/12/31,3
2020/01/01,3
2020/01/02,1.5
2020/01/03,2
2020/01/04,2.5
2020/01/05,1.5
2020/01/09,1
2020/01/10,2
2020/01/11,2.5
2020/01/14,1
2020/01/15,1
2020/01/17,2
2020/01/18,2.5
2020/01/19,3.5
2020/01/20,1.5
2020/01/22,2
2020/01/23,1
2020/01/24,5
2020/01/26,1
2020/01/27,2
2020/01/28,1.5
2020/01/30,1.5
2020/01/31,2
2020/02/01,1.5
2020/02/02,1
2020/02/05,1
2020/02/06,1
2020/02/08,1
2020/02/09,1
2020/02/12,1
2020/02/15,1.5
2020/02/16,1.5
2020/02/17,1
2020/02/19,1
2020/02/22,2
2020/02/23,1
2020/02/25,0.5
2020/02/28,1
2020/02/29,2
2020/03/01,1.5
2020/03/04,1
2020/03/06,1.5
2020/03/07,1.5
2020/03/08,1.5
2020/03/12,1
2020/03/13,2
2020/03/14,2
2020/03/15,1
2020/03/16,1
2020/03/19,1.5
2020/03/20,1
2020/03/21,2
2020/03/22,1.5
2020/03/24,1
2020/03/27,1.5
2020/03/28,2
2020/03/29,1.5
2020/04/01,1
2020/04/02,1.5
2020/04/04,2
2020/06/19,1.5
2020/06/20,2
2020/06/21,2
2020/06/22,1.5
2020/06/24,1.5
2020/06/26,3
2020/06/27,2
